region,value
10001,20579
10002,80323
10003,56614
10004,2780
10005,5724
10006,2696
10007,6188
10009,62397
10010,29396
10011,51853
10012,24703
10013,26090
10014,30893
10016,52624
10017,16137
10018,6147
10019,40351
10020,0
10021,42646
10022,29317
10023,60447
10024,58991
10025,96449
10026,36797
10027,61018
10028,45799
10029,79031
10030,29364
10031,59708
10032,61650
10033,57073
10034,41200
10035,34709
10036,22413
10037,17099
10038,20042
10039,25372
10040,43650
10044,12311
10065,32807
10075,24148
10128,59443
10280,7610
10301,38851
10302,17090
10303,24933
10304,41845
10305,41309
10306,55692
10307,14418
10308,28782
10309,31943
10310,24454
10312,61136
10314,87921
10451,45931
10452,74520
10453,79143
10454,37850
10455,38114
10456,87796
10457,69411
10458,74911
10459,47000
10460,56011
10461,51599
10462,75709
10463,69371
10464,3974
10465,43897
10466,71631
10467,96319
10468,73205
10469,71580
10470,15647
10471,21792
10472,67915
10473,58403
10474,12723
10475,41625
11004,14178
11005,1963
11101,24405
11102,33742
11103,36724
11104,26321
11105,37438
11106,36958
11201,52242
11203,80202
11204,80341
11205,40125
11206,80086
11207,92054
11208,93998
11209,72434
11210,64041
11211,90510
11212,81267
11213,61495
11214,81428
11215,67195
11216,53662
11217,38398
11218,74571
11219,95069
11220,100476
11221,80254
11222,33718
11223,74700
11224,44047
11225,60179
11226,99285
11228,43396
11229,79268
11230,84707
11231,34393
11232,28703
11233,67661
11234,95390
11235,72447
11236,97084
11237,53031
11238,52033
11239,12850
11354,55543
11355,83938
11356,22947
11357,40705
11358,39143
11359,0
11360,20688
11361,29197
11362,18220
11363,7442
11364,35106
11365,41520
11366,13593
11367,39424
11368,104486
11369,40160
11370,37755
11372,62857
11373,97430
11374,42484
11375,69745
11377,87284
11378,32187
11379,35680
11385,99508
11411,19357
11412,36660
11413,39291
11414,28769
11415,19464
11416,24977
11417,30325
11418,36821
11419,48119
11420,48226
11421,41872
11422,33116
11423,31425
11426,18847
11427,24601
11428,19784
11429,28571
11430,0
11432,58705
11433,30851
11434,61853
11435,52288
11436,17316
11691,61442
11692,16870
11693,11415
11694,21281
11697,4344
